,English (EN),Brazilian Portuguese (BR),Brazilian HUE (HUE),Russian (RU),Japanese (JP),German (DE),French (FR),Español (ES),Czech (CZ),Korean (KR),Dutch (NL),Italian (IT),Traditional Chinese (CHT),Simplified Chinese (CHN),Indonesian(IND),Polish (PL),Hungary(HUN),Thai(TH),Norwegian (NO),Danish (DK),Roumanian (RO),Pirate English,Hebrew (IL),Swedish (SWE),Greek (GR),Việt Nam (VN),Turkish / Türkçe (TR),Arabic (AR),Portugal Portuguese (PT),Suomi (FIN),Bulgarian (BG),Lithuanian (LT)
DAILY_MENU_TEXT,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETIÇÃO POR RANKS COM JOGADORES DO MUNDO TODO,VAMO V QUEM EH MAS NERD GANHA MEDALHA,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,Compite por rangos contra jugadores de alrededor del mundo,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,전 세계 사람들과 순위 경쟁,Speel voor plaatsen met spelers over de hele wereld,COMPLETA LA PARTITA GIORNALIERA E CONFRONTATI CON I GIOCATORI NEL MONDO,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,WALCZ O RANKING Z GRACZMI DOOKOŁA ŚWIATA,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,แข่งขันจัดอันดับระหว่างผู้เล่นที่อยู่ทั่วทุกมุมโลก,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,Derece almak için diğer oyuncularla yarış,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD,KILPAILE SIJOISTA PELAAJIEN KANSSA YMPÄRI MAAILMAN,СЪЗТЕЗАВАЙ СЕ С ИГРАЧИ ОТ ЦЕЛИЯ СВЯТ ЗА СВЕТОВЕН РАНК,COMPETE FOR RANKS WITH PLAYERS AROUND THE WORLD
DAILY_MENU_TEXT2,SINGLE-PLAYER ONLY,SEM CO-OP,SO JOGA DE UM,ТОЛЬКО В ОДИНОЧКУ,SINGLE-PLAYER ONLY,NUR EIN SPIELER ERLAUBT,Joueur solo,Sólo un jugador,SINGLE-PLAYER ONLY,싱글 플레이 전용,Een Speler,SOLO GIOCATORE SINGOLO,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,"SATU PEMAIN
 SAJA",TYLKO DLA JEDNEGO GRACZA,SINGLE-PLAYER ONLY,สำหรับเล่นคนเดียวเท่านั้น,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,Tek Oyunculu,SINGLE-PLAYER ONLY,SINGLE-PLAYER ONLY,VAIN YKSINPELI,САМО ЕДИН ИГРАЧ,SINGLE-PLAYER ONLY
DAILY_MENU_TEXT3,NO CHARACTER SELECTION,SEM SELEÇÃO DE PERSONAGEM,N ESCOLHE BONECO,НЕ ВЫБРАН ПЕРСОНАЖ,キャラクターが せんたくされていません,NO CHARACTER SELECTION,NO CHARACTER SELECTION,Sin selección de personajes,NO CHARACTER SELECTION,NO CHARACTER SELECTION,Geen Karakter Keuze,NESSUNA SELEZIONE DEL PERSONAGGIO,NO CHARACTER SELECTION,NO CHARACTER SELECTION,TANPA PEMILIHAN KARAKTER,BRAK WYBORU POSTACI,NO CHARACTER SELECTION,คุณยังไม่ได้เลือกตัวละคร,NO CHARACTER SELECTION,NO CHARACTER SELECTION,NO CHARACTER SELECTION,NO CHARACTER SELECTION,NO CHARACTER SELECTION,NO CHARACTER SELECTION,NO CHARACTER SELECTION,NO CHARACTER SELECTION,Karakter seçli değil,NO CHARACTER SELECTION,NO CHARACTER SELECTION,EI HAHMOVALINTAA,БЕЗ ИЗБОР НА ГЕРОЙ,NO CHARACTER SELECTION
DAILY_MENU_TEXT4,SAME RANDOM SEED FOR EVERY PLAYER,GERADOR ALEATÓRIO IGUAL PARA TODOS OS JOGADORES,MEMO AZAR IGUAL P TODO MUNDO,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,Mismo nivel autogenerado para todos los jugadores,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,STESSA MAPPA PER OGNI GIOCATORE,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SEED ACAK YANG SAMA UNTUK SETIAP PEMAIN,TEN SAM SEED DLA KAŻDEGO GRACZA,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAME RANDOM SEED FOR EVERY PLAYER,SAMA SATUNNAINEN POHJA JOKAISELLE PELAAJALLE,ЕДНАКЪВ СИЙД ЗА ВСЕКИ ИГРАЧ,SAME RANDOM SEED FOR EVERY PLAYER
DAILY_MENU_TEXT5,YOU ONLY HAVE ONE CHANCE,VOCÊ SÓ TEM UMA CHANCE,SE MORRE FUDEU,У ВАС ЕСТЬ ТОЛЬКО ОДНА ПОПЫТКА,チャンスは いちどきり,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,Sólo tienes una oportunidad,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,Je hebt maar een kans,HAI SOLO UNA VITA,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,KAMU CUMA PUNYA SATU KESEMPATAN,MASZ TYLKO JEDNO PODEJŚCIE,YOU ONLY HAVE ONE CHANCE,คุณมีโอกาสเพียงแค่ครั้งเดียว,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,ΕΧΕΙΣ ΜΟΝΟ ΜΙΑ ΕΥΚΑΙΡΙΑ,YOU ONLY HAVE ONE CHANCE,Yalnızca Bir Şansın Var ,YOU ONLY HAVE ONE CHANCE,YOU ONLY HAVE ONE CHANCE,SINULLA ON VAIN YKSI MAHDOLLISUUS,ИМАШ САМО ИЮЕДИН ШАНС,YOU ONLY HAVE ONE CHANCE
DAILY_MENU_TEXT6,YOU HAVE COMPLETED TODAYS RUN,VOCÊ COMPLETOU A PARTIDA DE HOJE,VC JA JOGOU HOJE ANTA,ВЫ ЗАКОНЧИЛИ СЕГОДНЯШНЮЮ ГОНКУ,YOU HAVE COMPLETED TODAY'S RUN,Du hast die Heutige Tagesherausforderung abgeschlossen!,YOU HAVE COMPLETED TODAY'S RUN,Has completado el recorrido de hoy,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,Je hebt vandaags dagelijks gehaald,HAI COMPLETATO LA PARTITA GIORNALIERA,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,KAMU TELAH MENYELESAIKAN PERJALANAN HARI INI,ZAKOŃCZYŁEŚ DZISIEJSZY BIEG,YOU HAVE COMPLETED TODAY'S RUN,คุณได้ทำภารกิจเสร็จสิ้นแล้วสำหรับวันนี้,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,Bugünün Günlük Modunu Tamamladın,YOU HAVE COMPLETED TODAY'S RUN,YOU HAVE COMPLETED TODAY'S RUN,OLET SUORITTANUT TÄMÄN PÄIVÄN HAASTEEN,ТИ ЗАВЪРШИ ДНЕВНАТА ЗАДАЧА,YOU HAVE COMPLETED TODAY'S RUN
DAILY_MENU_TEXT7,COME BACK TOMORROW TO TRY AGAIN,VOLTE AMANHÃ PARA TENTAR NOVAMENTE,VOLTA AMANHA NERD,ВЕРНИТЕСЬ ЗАВТРА ЧТОБЫ ПОПРОБЫВАТЬ СНОВА,またあした ちょうせんしよう,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,Regresa mañana para volver a intentarlo,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,Kom morgen terug en probeer opnieuw,TORNA DOMANI PER RIPROVARCI,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,KEMBALI BESOK UNTUK MENCOBA LAGI,WRÓĆ TU JUTRO BY SPRÓBOWAĆ JESZCZE RAZ,COME BACK TOMORROW TO TRY AGAIN,กลับมาวันพรุ่งนี้เพื่อลองอีกครั้ง,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,Bir daha denemek için yarın tekrar gel,COME BACK TOMORROW TO TRY AGAIN,COME BACK TOMORROW TO TRY AGAIN,TULE TAKAISIN HUOMENNA YRITTÄÄKSESI UUDESTAAN,ЕЛА УТРЕ ЗА НОВА ЗАДАЧА,COME BACK TOMORROW TO TRY AGAIN
DAILY_PLAY,LETS GO!,VAMOS LÁ!,BIRLLL!,НАЧИНАЕМ!,LET'S GO!,LET'S GO!,LET'S GO!,¡Vamos!,LET'S GO!,LET'S GO!,Gaan!,ANDIAMO!,LET'S GO!,LET'S GO!,AYO!,JAZDA!,LET'S GO!,ไปกันเลย!,LET'S GO!,LET'S GO!,LET'S GO!,LET'S GO!,LET'S GO!,LET'S GO!,ΠΑΜΕ!,LET'S GO!,LET'S GO!,LET'S GO!,LET'S GO!,MENOKSI!,ДА ВЪРВИМ!,LET'S GO!
DAILY_CONNECTING,CONNECTING TO STEAM SERVERS,CONECTANDO AOS SERVIDORES STEAM,MANDANO HUE PROS GRINGO DA VALVE,ПОДКЛЮЧЕНИЕ К СЕРВЕРАМ STEAM,システムサーバーに せつぞくちゅう…,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,Conectando a los servidores de Steam,CONNECTING TO STEAM SERVERS,스팀 서버에 접속중,Sycroniseren met Steam servers,CONNESSIONE AD I SERVER STEAM,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,MENYAMBUNGKAN KE SERVER STEAM,ŁĄCZENIE Z SERWERAMI STEAM,CONNECTING TO STEAM SERVERS,กำลังเชื่อมต่อกับ STEAM เซิฟเวอร์,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,Steam sunucularına bağlanılıyor,CONNECTING TO STEAM SERVERS,CONNECTING TO STEAM SERVERS,YHDISTETÄÄN STEAM PALVELIMIIN,Свързване с Steam сървърите,CONNECTING TO STEAM SERVERS
DAILY_CONNECTING2,PLEASE WAIT OR TRY AGAIN LATER,AGUARDE OU TENTE MAIS TARDE,ESPERA PORRA,ПОЖАЛУЙСТА ПОДОЖДИТЕ ИЛИ ПОЗЖЕ ПОПРОБУЙТЕ СНОВА,すこしじかんをおいて おためしください,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,Por favor espera o intentalo más tarde,PLEASE WAIT OR TRY AGAIN LATER,잠시 기다리거나 나중에 다시 시도하세요,Wacht alstublieft of probeer op nieuw,PERFAVORE ASPETTA O RIPROVA PIÙ TARDI,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,MOHON TUNGGU ATAU COBA LAGI NANTI,POCZEKAJ LUB SPRÓBUJ PÓŹNIEJ,PLEASE WAIT OR TRY AGAIN LATER,รอสักครู่ หรือ ลองอีกครั้งในภายหลัง,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,ΠΑΡΑΚΑΛΩ ΠΕΡΙΜΕΝΕ 'Η ΠΡΟΣΠΑΘΗΣΕ ΞΑΝΑ ΑΡΓΟΤΕΡΑ,PLEASE WAIT OR TRY AGAIN LATER,Lütfen bekleyiniz veya daha sonra tekrar deneyiniz,PLEASE WAIT OR TRY AGAIN LATER,PLEASE WAIT OR TRY AGAIN LATER,ODOTA TAI YRITÄ MYÖHEMMIN UUDELLEEN,Моля изчакайте или опитайте по-късно,PLEASE WAIT OR TRY AGAIN LATER
DAILY_PLAYERS,PLAYERS SO FAR,JOGADORES ATÉ AGORA,NERDS ATE AGORA,ИГРОКИ СЛИШКОМ ДАЛЕКО,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,Jugadores de momento,PLAYERS SO FAR,PLAYERS SO FAR,Spelers tot nu toe,GIOCATORI CHE CI HANNO PROVATO,PLAYERS SO FAR,PLAYERS SO FAR,PEMAIN SEJAUH INI,GRACZY DO TEJ PORY,PLAYERS SO FAR,ผู้เล่นที่มาได้ไกลขนาดนี้!,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PLAYERS SO FAR,PELAAJIA TÄHÄN ASTI,Играчи до тук,PLAYERS SO FAR
DAILY_RANK_UNRANKED,UNRANKED,SEM RANK,JA FEZ O LEPO LEPO,РЯДОВОЙ,UNRANKED,UNRANKED,UNRANKED,Sin rango,UNRANKED,UNRANKED,Ongeranked,INCLASSIFICATO,UNRANKED,UNRANKED,TANPA RANK,NIEKLASYFIKOWANY,UNRANKED,ยังไม่ได้รับการจัดอันดับ,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,UNRANKED,RANKKAAMATON,Непоставен на ранклистата,UNRANKED
DAILY_RANK_BRONZE,BRONZE,BRONZE,JA BEJO NA BOCA,БРОНЗОВЫЙ,BRONZE,BRONZE,BRONZE,Bronce,BRONZE,브론즈,Brons,BRONZO,BRONZE,BRONZE,PERUNGGU,BRĄZ,BRONZE,ทองแดง,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE,BRONZE,ΧΑΛΚΙΝΟ,BRONZE,Bronz,BRONZE,BRONZE,BRONSSI,Бронз,BRONZE
DAILY_RANK_SILVER,SILVER,PRATA,JA DEU SELINHO,СЕРЕБРЯНЫЙ,SILVER,SILBER,ARGENT,Plata,SILVER,실버,Silver,ARGENTO,SILVER,SILVER,PERAK,SREBRO,SILVER,เงิน,SILVER,SILVER,SILVER,SILVER,SILVER,SILVER,ΑΣΗΜΕΝΙΟ,SILVER,Gümüş,SILVER,SILVER,HOPEA,Сребро,SILVER
DAILY_RANK_GOLD,GOLD,OURO,JA PEGOU NA MAO,ЗОЛОТОЙ,GOLD,GOLD,OR,Oro,GOLD,골드,Goud,ORO,GOLD,GOLD,EMAS,ZŁOTO,GOLD,ทอง,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,GOLD,Altın,GOLD,GOLD,KULTA,Злато,GOLD
DAILY_RANK_PLATINUM,PLATINUM,PLATINA,BVZAO,ПЛАТИНОВЫЙ,PLATINUM,PLATIN,PLATINE,Platino,PLATINUM,플레티넘,Platinum,PLATINO,PLATINUM,PLATINUM,PLATINUM,PLATYNA,PLATINUM,ทองคำขาว,PLATINUM,PLATINUM,PLATINUM,PLATINUM,PLATINUM,PLATINUM,ΠΛΑΤΙΝΕΝΙΟ,PLATINUM,Platin,PLATINUM,PLATINUM,PLATINA,Платинен,PLATINUM
DAILY_RANK_DIAMOND,DIAMOND,DIAMANTE,VAI MORRE VIRGE,БРИЛЛИАНТОВЫЙ,DIAMOND,DIAMANT,DIAMANT,Diamante,DIAMOND,다이아몬드,Diamand,DIAMANTE,DIAMOND,DIAMOND,DIAMOND,DIAMENT,DIAMOND,เพชร,DIAMOND,DIAMOND,DIAMOND,DIAMOND,DIAMOND,DIAMOND,ΔΙΑΜΑΝΤΕΝΙΟ,DIAMOND,Elmas,DIAMOND,DIAMOND,TIMANTTI,Диамантен,DIAMOND
DAILY_RANK_MASTER,MASTER,MESTRE,TAO VIRGE Q VIROU LIDER DE CULTO GERAL PAGA PAL,ПРЕВОСХОДНЫЙ,MASTER,MEISTER,MASTER,Maestro,MASTER,마스터,Meester,MASTER,MASTER,MASTER,MASTER,MISTRZ,MASTER,ปรมาจาร,MASTER,MASTER,MASTER,MASTER,MASTER,MASTER,MASTER,MASTER,Usta,MASTER,MASTER,MESTARI,Мастър,MASTER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS_FXGAMEPLAY,GAMEPLAY OPTIONS,OPÇÕES DE JOGO,MAIS FRESCURADA,НАСТРОЙКИ ИГРЫ,ゲームプレイ オプション,Gameplay-Optionen,OPTIONS DE JEU,Opciones de Juego,Nastavení hry,게임플레이 옵션,Spel opties,OPZIONI GIOCO,遊玩設定,游戏设置,Pengaturan Permainan,Ustawienia gry,JÁTÉK BEÁLLITÁSOK,ตั้งค่าการเล่น,SPILL INNSTILLINGER,Spil-Indstillinger,Opțiuni joc,Change the Game,אפשרויות משחק,Spel Inställningar,ΕΠΙΛΟΓΕΣ ΠΑΙΧΝΙΔΙΟΥ,Tùy Chỉnh Trò Chơi,OYUN İÇİ AYARLARI,خيارات اللعب,OPÇÕES DE JOGO,PELAAMISASETUKSET,Игрови настройки,Žaidimo nustatymai
SETTINGS_FXPERFORMANCE,VIDEO OPTIONS,OPÇÕES DE VÍDEO,RODA CRYSIS?,НАСТРОЙКИ ГРАФИКИ,ビデオ オプション,Grafikoptionen,VIDÉO,Opciones de Vídeo,Nastavení videa,비디오 옵션,VIDEO-OPTIES,OPZIONI VIDEO,畫面設定,画面设置,Pengaturan Video,Ustawienia grafiki,VIDEÓ BEÁLLITÁSOK,ตั้งค่าการแสดงผล,GRAFIKK INNSTILLINGER,Video-Indstillinger,Opțiuni video,Change the Movie,אפשרויות וידאו,Grafik Inställningar,ΕΠΙΛΟΓΕΣ ΒΙΝΤΕΟ,Tùy Chỉnh Đồ Họa,EKRAN AYARLARI,الرسوميات,OPÇÕES DE VIDEO,VIDEOASETUKSET,Графични настроийки,Vaizdo nustatymai
SETTINGS_FXMAPPING,KEY MAPPING,CONFIGURAR TECLADO,TECLADO PRO GUEMER,УПРАВЛЕНИЕ,キー マッピング,Tastenbelegung,CLAVIER,Opciones de Teclado,Nastavení kláves,키 설정,CONTROLLER-OPTIES,CONFIGURA TASTI,按鍵設定,按键设置,Pengaturan Tombol,Ustawienia sterowania,BILLENTYŰ KIOSZTÁS,ตั้งค่าปุ่มกด,KNAPP KOMBINERING,Tastatur-indstillinger,Configurare taste,Change the 'Board,שינוי מקשים,Knapp Konfiguration,ΚΑΘΟΡΙΣΜΟΣ ΠΛΗΚΤΡΩΝ,Tùy Chỉnh Phím,TUŞ ATAMA,مفاتيح التحكم,CONFIGURAR TECLAS,NÄPPÄINTEN UUDELLEENOHJAUS,Бутони,Mygtuku nustatymai
SETTINGS_DELETESAVE,DELETE SAVED GAME,DELETAR JOGO SALVO,IXI DELETA O SAVE,УДАЛИТЬ СОХРАНЕНИЕ,セーブデータを さくじょ,Spielstand löschen,EFFACER LA SAUVEGARDE,Borrar Datos de Partida,Smazání uložené hry,저장된 기록 지우기,OPGESLAGEN SAVE VERWIJDEREN,ELIMINA SALVATAGGI,刪除遊戲紀錄,删除已保存游戏,Hapus Data Permainan,Usuń zapisany postęp,MENTÉS TÖRLÉSE,ลบเซฟเกม,SLETT LAGRET DATA,Slet Gemte Spil,Șterge jocuri salvate,Destroy Past Captains,למחוק משחק שמור,Radera Sparat Spel,ΔΙΑΓΡΑΦΗ ΑΠΟΘΥΚΕΥΜΕΝΟΥ ΠΑΙΧΝΙΔΙΟΥ,Xóa phần lưu hiện tại,KAYITLI OYUNU SİL, حذف بيانات التقدم,ELIMINAR JOGO GUARDADO,POISTA TALLENNETTU PELI,Изтрий запазената игра,Ištrinti išsaugotą žaidimą
SETTINGS_DELETESAVE_CONFIRM,YES! DELETE!,SIM! DELETAR!,VAI LOGO,ДА! УДАЛИТЬ!,はい! もちろん!,Ja! Löschen!,OUI! EFFACER!,"¡Sí, borrar!","Ano, smazat!",네! 지울게요!,JA! VERWIJDER!,SÌ! ELIMINA!,是! 將會刪除,是的！删除！,Ya! Hapus!,"Tak, usuń!",IGEN! TÖRLÉS!,ยืนยันการลบ,JA! SLETT DET!,Ja! Slet!,DA! Șterge!,Aye!,כן! למחוק!,JA! RADERA!,ΝΑΙ! ΔΙΑΓΡΑΦΗ!,Xóa ngay !,EVET! SİL!,تأكيد !,SIM! APAGAR!,KYLLÄ! POISTA!,ДА! ИЗТРИЙ ГО!,TAIP! IŠTRINTI!
